Location,Metric,CY20,CY21,CY22,CY23
California,M1a,259358,273881,328908,364034
CA-500 San Jose/Santa Clara City & County CoC,M1a,11881,13253,16655,18388
CA-501 San Francisco CoC,M1a,11258,12844,17070,18935
"CA-502 Oakland, Berkeley/Alameda County CoC",M1a,9088,10766,12806,13811
CA-503 Sacramento City & County CoC,M1a,10010,11082,14106,18597
"CA-504 Santa Rosa, Petaluma/Sonoma County CoC",M1a,4425,4350,4573,5024
CA-505 Richmond/Contra Costa County CoC,M1a,6206,5848,6300,7663
"CA-506 Salinas/Monterey, San Benito Counties CoC",M1a,2979,3266,3384,3899
CA-507 Marin County CoC,M1a,1162,1893,1867,2118
CA-508 Watsonville/Santa Cruz City & County CoC,M1a,2481,2539,2332,2224
CA-509 Mendocino County CoC,M1a,1132,1488,1717,1604
"CA-510 Turlock, Modesto/Stanislaus County CoC",M1a,4952,5022,6346,6444
CA-511 Stockton/San Joaquin County CoC,M1a,8128,7759,11337,11053
CA-512 Daly City/San Mateo County CoC,M1a,4648,4761,5424,5943
"CA-513 Visalia/Kings, Tulare Counties CoC",M1a,3626,3238,4216,5067
CA-514 Fresno City & County/Madera County CoC,M1a,5646,6840,8148,10764
"CA-515 Roseville, Rocklin/Placer County CoC",M1a,1752,2226,2490,2372
"CA-516 Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",M1a,1472,2076,2541,2590
CA-517 Napa City & County CoC,M1a,1373,842,1064,1086
CA-518 Vallejo/Solano County CoC,M1a,2270,2341,1705,1819
"CA-519 Chico, Paradise/Butte County CoC",M1a,2058,2168,2625,4573
CA-520 Merced City & County CoC,M1a,2866,2494,3287,3726
"CA-521 Davis, Woodland/Yolo County CoC",M1a,1799,1682,1825,1889
CA-522 Humboldt County CoC,M1a,1919,1691,2374,2580
"CA-523 Colusa, Glenn, Trinity Counties CoC",M1a,501,686,696,664
CA-524 Yuba City & County/Sutter County CoC,M1a,1632,2671,3218,3654
CA-525 El Dorado County CoC,M1a,652,578,677,913
"CA-526 Amador, Calaveras, Mariposa, Tuolumne Counties CoC",M1a,701,743,968,941
CA-527 Tehama County CoC,M1a,645,593,1165,1116
CA-529 Lake County CoC,M1a,206,422,301,498
"CA-530 Alpine, Inyo, Mono Counties CoC",M1a,280,258,207,137
CA-531 Nevada County CoC,M1a,537,969,1297,1373
CA-600 Los Angeles City & County CoC,M1a,85991,83441,91222,99727
CA-601 San Diego City & County CoC,M1a,24978,25938,28638,31119
"CA-602 Santa Ana, Anaheim/Orange County CoC",M1a,13684,17628,27200,29601
CA-603 Santa Maria/Santa Barbara County CoC,M1a,3180,3506,4187,4562
CA-604 Bakersfield/Kern County CoC,M1a,4854,7248,9082,9507
CA-606 Long Beach CoC,M1a,3926,4866,5635,8336
CA-607 Pasadena CoC,M1a,2177,1824,1862,1918
CA-608 Riverside City & County CoC,M1a,8349,8819,11796,12908
CA-609 San Bernardino City & County CoC,M1a,8020,6993,10396,10014
"CA-611 Oxnard, San Buenaventura/Ventura County CoC",M1a,2660,2595,3196,3054
CA-612 Glendale CoC,M1a,631,779,1104,1136
CA-613 Imperial County CoC,M1a,1202,1615,1954,2300
CA-614 San Luis Obispo County CoC,M1a,1614,2138,2816,3365
Los Angeles County,M1a,88858,86911,95566,105976
California,M1b,113660,N/A,115491,123423
CA-500 San Jose/Santa Clara City & County CoC,M1b,7922,N/A,7708,7401
CA-501 San Francisco CoC,M1b,5180,N/A,4397,4397
"CA-502 Oakland, Berkeley/Alameda County CoC",M1b,6312,N/A,7135,7135
CA-503 Sacramento City & County CoC,M1b,3900,N/A,6664,6664
"CA-504 Santa Rosa, Petaluma/Sonoma County CoC",M1b,1702,N/A,2088,1291
CA-505 Richmond/Contra Costa County CoC,M1b,1570,N/A,2329,1653
"CA-506 Salinas/Monterey, San Benito Counties CoC",M1b,1998,N/A,1625,1625
CA-507 Marin County CoC,M1b,708,N/A,830,830
CA-508 Watsonville/Santa Cruz City & County CoC,M1b,1700,N/A,1774,1426
CA-509 Mendocino County CoC,M1b,575,N/A,560,410
"CA-510 Turlock, Modesto/Stanislaus County CoC",M1b,1087,N/A,946,949
CA-511 Stockton/San Joaquin County CoC,M1b,1558,N/A,1355,1355
CA-512 Daly City/San Mateo County CoC,M1b,901,N/A,1092,1092
"CA-513 Visalia/Kings, Tulare Counties CoC",M1b,937,N/A,823,1089
CA-514 Fresno City & County/Madera County CoC,M1b,2681,N/A,2338,2758
"CA-515 Roseville, Rocklin/Placer County CoC",M1b,405,N/A,408,407
"CA-516 Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",M1b,1023,N/A,1096,1434
CA-517 Napa City & County CoC,M1b,303,N/A,366,349
CA-518 Vallejo/Solano County CoC,M1b,932,N/A,920,920
"CA-519 Chico, Paradise/Butte County CoC",M1b,838,N/A,588,580
CA-520 Merced City & County CoC,M1b,313,N/A,368,390
"CA-521 Davis, Woodland/Yolo County CoC",M1b,397,N/A,378,378
CA-522 Humboldt County CoC,M1b,1402,N/A,1309,1309
"CA-523 Colusa, Glenn, Trinity Counties CoC",M1b,150,N/A,196,180
CA-524 Yuba City & County/Sutter County CoC,M1b,519,N/A,839,682
CA-525 El Dorado County CoC,M1b,480,N/A,438,438
"CA-526 Amador, Calaveras, Mariposa, Tuolumne Counties CoC",M1b,687,N/A,494,494
CA-527 Tehama County CoC,M1b,215,N/A,218,247
CA-529 Lake County CoC,M1b,336,N/A,259,259
"CA-530 Alpine, Inyo, Mono Counties CoC",M1b,162,N/A,95,74
CA-531 Nevada County CoC,M1b,251,N/A,243,227
CA-600 Los Angeles City & County CoC,M1b,46090,N/A,45878,52307
CA-601 San Diego City & County CoC,M1b,3971,N/A,4106,5171
"CA-602 Santa Ana, Anaheim/Orange County CoC",M1b,3961,N/A,3057,3057
CA-603 Santa Maria/Santa Barbara County CoC,M1b,1223,N/A,1367,1202
CA-604 Bakersfield/Kern County CoC,M1b,1004,N/A,728,1017
CA-606 Long Beach CoC,M1b,1582,N/A,2287,2482
CA-607 Pasadena CoC,M1b,294,N/A,280,303
CA-608 Riverside City & County CoC,M1b,2155,N/A,1980,2441
CA-609 San Bernardino City & County CoC,M1b,2390,N/A,2389,2976
"CA-611 Oxnard, San Buenaventura/Ventura County CoC",M1b,1265,N/A,1356,1633
CA-612 Glendale CoC,M1b,75,N/A,103,89
CA-613 Imperial County CoC,M1b,1334,N/A,925,1146
CA-614 San Luis Obispo County CoC,M1b,1172,N/A,1156,1156
Los Angeles County,M1b,48041,N/A,48548,55181
California,M2,140785,144731,176510,189845
CA-500 San Jose/Santa Clara City & County CoC,M2,6238,6788,8403,8134
CA-501 San Francisco CoC,M2,4888,5148,8243,9144
"CA-502 Oakland, Berkeley/Alameda County CoC",M2,4466,5681,6575,6616
CA-503 Sacramento City & County CoC,M2,4866,5729,7591,9901
"CA-504 Santa Rosa, Petaluma/Sonoma County CoC",M2,1707,1793,2023,2223
CA-505 Richmond/Contra Costa County CoC,M2,3025,2876,3166,4015
"CA-506 Salinas/Monterey, San Benito Counties CoC",M2,1523,1671,1631,2036
CA-507 Marin County CoC,M2,469,1151,877,1011
CA-508 Watsonville/Santa Cruz City & County CoC,M2,1270,1143,1089,1025
CA-509 Mendocino County CoC,M2,581,818,824,622
"CA-510 Turlock, Modesto/Stanislaus County CoC",M2,2200,2676,3528,3214
CA-511 Stockton/San Joaquin County CoC,M2,4194,3906,6487,5646
CA-512 Daly City/San Mateo County CoC,M2,1658,1584,1879,2032
"CA-513 Visalia/Kings, Tulare Counties CoC",M2,2204,1856,2698,2855
CA-514 Fresno City & County/Madera County CoC,M2,4256,4427,4506,6070
"CA-515 Roseville, Rocklin/Placer County CoC",M2,593,916,1022,990
"CA-516 Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",M2,991,1381,1488,1376
CA-517 Napa City & County CoC,M2,851,390,534,491
CA-518 Vallejo/Solano County CoC,M2,1548,1421,895,1140
"CA-519 Chico, Paradise/Butte County CoC",M2,988,1068,1410,2533
CA-520 Merced City & County CoC,M2,1819,1399,1863,1909
"CA-521 Davis, Woodland/Yolo County CoC",M2,1114,829,952,1054
CA-522 Humboldt County CoC,M2,1352,937,1419,1390
"CA-523 Colusa, Glenn, Trinity Counties CoC",M2,307,371,342,334
CA-524 Yuba City & County/Sutter County CoC,M2,997,1397,1625,1687
CA-525 El Dorado County CoC,M2,438,340,397,551
"CA-526 Amador, Calaveras, Mariposa, Tuolumne Counties CoC",M2,433,447,657,559
CA-527 Tehama County CoC,M2,348,434,824,680
CA-529 Lake County CoC,M2,176,319,195,351
"CA-530 Alpine, Inyo, Mono Counties CoC",M2,220,168,118,63
CA-531 Nevada County CoC,M2,181,478,589,547
CA-600 Los Angeles City & County CoC,M2,44883,40247,42758,48788
CA-601 San Diego City & County CoC,M2,14679,14368,15232,16478
"CA-602 Santa Ana, Anaheim/Orange County CoC",M2,7671,11383,18795,18966
CA-603 Santa Maria/Santa Barbara County CoC,M2,1662,1854,2265,2395
CA-604 Bakersfield/Kern County CoC,M2,3196,4761,5298,4869
CA-606 Long Beach CoC,M2,2240,2634,3140,4744
CA-607 Pasadena CoC,M2,720,675,778,781
CA-608 Riverside City & County CoC,M2,5397,5667,7730,7839
CA-609 San Bernardino City & County CoC,M2,5413,4353,7517,6158
"CA-611 Oxnard, San Buenaventura/Ventura County CoC",M2,1453,1389,1681,1407
CA-612 Glendale CoC,M2,316,389,513,574
CA-613 Imperial County CoC,M2,873,1061,1155,1515
CA-614 San Luis Obispo County CoC,M2,802,1266,1694,1780
Los Angeles County,M2,46637,42318,45355,52673
California,M3,53097,52995,63801,70503
CA-500 San Jose/Santa Clara City & County CoC,M3,3023,3375,3857,4640
CA-501 San Francisco CoC,M3,2371,3164,4645,4625
"CA-502 Oakland, Berkeley/Alameda County CoC",M3,2075,2727,2684,2634
CA-503 Sacramento City & County CoC,M3,2867,2526,2857,3634
