CALENDAR_YEAR,LOCATION_ID,LOCATION,AGE_GROUP_PUBLIC,EXPERIENCING_HOMELESSNESS_CNT
2017,All,California,18-24,16275
2017,All,California,25-34,27785
2017,All,California,35-44,25006
2017,All,California,45-54,26669
2017,All,California,55-64,23239
2017,All,California,65+,7505
2017,All,California,Invalid,95
2017,All,California,Under 18,51444
2017,All,California,Unknown,3294
2017,CA-500,Santa Clara County CoC,18-24,775
2017,CA-500,Santa Clara County CoC,25-34,1501
2017,CA-500,Santa Clara County CoC,35-44,1436
2017,CA-500,Santa Clara County CoC,45-54,1635
2017,CA-500,Santa Clara County CoC,55-64,1497
2017,CA-500,Santa Clara County CoC,65+,492
2017,CA-500,Santa Clara County CoC,Under 18,2341
2017,CA-500,Santa Clara County CoC,Unknown,*
2017,CA-501,San Francisco CoC,18-24,546
2017,CA-501,San Francisco CoC,25-34,480
2017,CA-501,San Francisco CoC,35-44,495
2017,CA-501,San Francisco CoC,45-54,599
2017,CA-501,San Francisco CoC,55-64,518
2017,CA-501,San Francisco CoC,65+,195
2017,CA-501,San Francisco CoC,Invalid,*
2017,CA-501,San Francisco CoC,Under 18,1493
2017,CA-501,San Francisco CoC,Unknown,55
2017,CA-502,Alameda County CoC,18-24,860
2017,CA-502,Alameda County CoC,25-34,951
2017,CA-502,Alameda County CoC,35-44,759
2017,CA-502,Alameda County CoC,45-54,925
2017,CA-502,Alameda County CoC,55-64,915
2017,CA-502,Alameda County CoC,65+,312
2017,CA-502,Alameda County CoC,Invalid,*
2017,CA-502,Alameda County CoC,Under 18,1841
2017,CA-502,Alameda County CoC,Unknown,25
2017,CA-503,Sacramento County CoC,18-24,949
2017,CA-503,Sacramento County CoC,25-34,1671
2017,CA-503,Sacramento County CoC,35-44,1500
2017,CA-503,Sacramento County CoC,45-54,1648
2017,CA-503,Sacramento County CoC,55-64,1228
2017,CA-503,Sacramento County CoC,65+,322
2017,CA-503,Sacramento County CoC,Invalid,*
2017,CA-503,Sacramento County CoC,Under 18,3846
2017,CA-503,Sacramento County CoC,Unknown,*
2017,CA-504,Sonoma County CoC,18-24,273
2017,CA-504,Sonoma County CoC,25-34,430
2017,CA-504,Sonoma County CoC,35-44,440
2017,CA-504,Sonoma County CoC,45-54,476
2017,CA-504,Sonoma County CoC,55-64,465
2017,CA-504,Sonoma County CoC,65+,152
2017,CA-504,Sonoma County CoC,Invalid,*
2017,CA-504,Sonoma County CoC,Under 18,668
2017,CA-505,Contra Costa County CoC,18-24,351
2017,CA-505,Contra Costa County CoC,25-34,685
2017,CA-505,Contra Costa County CoC,35-44,694
2017,CA-505,Contra Costa County CoC,45-54,689
2017,CA-505,Contra Costa County CoC,55-64,655
2017,CA-505,Contra Costa County CoC,65+,246
2017,CA-505,Contra Costa County CoC,Under 18,1096
2017,CA-506,"Monterey, San Benito Counties CoC",18-24,181
2017,CA-506,"Monterey, San Benito Counties CoC",25-34,364
2017,CA-506,"Monterey, San Benito Counties CoC",35-44,254
2017,CA-506,"Monterey, San Benito Counties CoC",45-54,249
2017,CA-506,"Monterey, San Benito Counties CoC",55-64,245
2017,CA-506,"Monterey, San Benito Counties CoC",65+,104
2017,CA-506,"Monterey, San Benito Counties CoC",Invalid,*
2017,CA-506,"Monterey, San Benito Counties CoC",Under 18,906
2017,CA-506,"Monterey, San Benito Counties CoC",Unknown,*
2017,CA-507,Marin County CoC,18-24,103
2017,CA-507,Marin County CoC,25-34,254
2017,CA-507,Marin County CoC,35-44,267
2017,CA-507,Marin County CoC,45-54,303
2017,CA-507,Marin County CoC,55-64,287
2017,CA-507,Marin County CoC,65+,112
2017,CA-507,Marin County CoC,Under 18,299
2017,CA-507,Marin County CoC,Unknown,*
2017,CA-508,Santa Cruz County CoC,18-24,106
2017,CA-508,Santa Cruz County CoC,25-34,285
2017,CA-508,Santa Cruz County CoC,35-44,261
2017,CA-508,Santa Cruz County CoC,45-54,316
2017,CA-508,Santa Cruz County CoC,55-64,288
2017,CA-508,Santa Cruz County CoC,65+,126
2017,CA-508,Santa Cruz County CoC,Under 18,453
2017,CA-508,Santa Cruz County CoC,Unknown,13
2017,CA-509,Mendocino County CoC,18-24,97
2017,CA-509,Mendocino County CoC,25-34,131
2017,CA-509,Mendocino County CoC,35-44,132
2017,CA-509,Mendocino County CoC,45-54,150
2017,CA-509,Mendocino County CoC,55-64,121
2017,CA-509,Mendocino County CoC,65+,43
2017,CA-509,Mendocino County CoC,Under 18,115
2017,CA-509,Mendocino County CoC,Unknown,*
2017,CA-510,Stanislaus County CoC,18-24,535
2017,CA-510,Stanislaus County CoC,25-34,978
2017,CA-510,Stanislaus County CoC,35-44,852
2017,CA-510,Stanislaus County CoC,45-54,661
2017,CA-510,Stanislaus County CoC,55-64,487
2017,CA-510,Stanislaus County CoC,65+,136
2017,CA-510,Stanislaus County CoC,Under 18,2551
2017,CA-510,Stanislaus County CoC,Unknown,*
2017,CA-511,San Joaquin County CoC,18-24,668
2017,CA-511,San Joaquin County CoC,25-34,1285
2017,CA-511,San Joaquin County CoC,35-44,943
2017,CA-511,San Joaquin County CoC,45-54,722
2017,CA-511,San Joaquin County CoC,55-64,527
2017,CA-511,San Joaquin County CoC,65+,181
2017,CA-511,San Joaquin County CoC,Invalid,*
2017,CA-511,San Joaquin County CoC,Under 18,3536
2017,CA-511,San Joaquin County CoC,Unknown,*
2017,CA-512,San Mateo County CoC,18-24,296
2017,CA-512,San Mateo County CoC,25-34,617
2017,CA-512,San Mateo County CoC,35-44,522
2017,CA-512,San Mateo County CoC,45-54,518
2017,CA-512,San Mateo County CoC,55-64,494
2017,CA-512,San Mateo County CoC,65+,158
2017,CA-512,San Mateo County CoC,Under 18,1298
2017,CA-512,San Mateo County CoC,Unknown,*
2017,CA-513,"Kings, Tulare Counties CoC",18-24,276
2017,CA-513,"Kings, Tulare Counties CoC",25-34,577
2017,CA-513,"Kings, Tulare Counties CoC",35-44,523
2017,CA-513,"Kings, Tulare Counties CoC",45-54,419
2017,CA-513,"Kings, Tulare Counties CoC",55-64,277
2017,CA-513,"Kings, Tulare Counties CoC",65+,82
2017,CA-513,"Kings, Tulare Counties CoC",Under 18,799
2017,CA-514,"Fresno, Madera Counties CoC",18-24,213
2017,CA-514,"Fresno, Madera Counties CoC",25-34,322
2017,CA-514,"Fresno, Madera Counties CoC",35-44,317
2017,CA-514,"Fresno, Madera Counties CoC",45-54,350
2017,CA-514,"Fresno, Madera Counties CoC",55-64,351
2017,CA-514,"Fresno, Madera Counties CoC",65+,97
2017,CA-514,"Fresno, Madera Counties CoC",Invalid,*
2017,CA-514,"Fresno, Madera Counties CoC",Under 18,928
2017,CA-514,"Fresno, Madera Counties CoC",Unknown,*
2017,CA-515,Placer County CoC,18-24,96
2017,CA-515,Placer County CoC,25-34,219
2017,CA-515,Placer County CoC,35-44,226
2017,CA-515,Placer County CoC,45-54,229
2017,CA-515,Placer County CoC,55-64,200
2017,CA-515,Placer County CoC,65+,58
2017,CA-515,Placer County CoC,Invalid,*
2017,CA-515,Placer County CoC,Under 18,312
2017,CA-515,Placer County CoC,Unknown,*
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",18-24,27
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",25-34,57
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",35-44,47
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",45-54,21
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",55-64,23
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",65+,*
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Invalid,*
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Under 18,103
2017,CA-517,Napa County CoC,18-24,77
2017,CA-517,Napa County CoC,25-34,195
2017,CA-517,Napa County CoC,35-44,151
2017,CA-517,Napa County CoC,45-54,176
