CALENDAR_YEAR,LOCATION_ID,RACE_ETHNICITY,ALONE_OR_IN_COMBINATION,CNT
2017,All,"American Indian, Alaska Native, or Indigenous",Alone,1919
2017,All,"American Indian, Alaska Native, or Indigenous",In_Combination,7310
2017,All,Asian or Asian American,Alone,2716
2017,All,Asian or Asian American,In_Combination,1556
2017,All,"Black, African American or African",Alone,53261
2017,All,"Black, African American or African",In_Combination,7686
2017,All,Hispanic/Latina/e/o,Alone,4058
2017,All,Hispanic/Latina/e/o,In_Combination,55418
2017,All,Native Hawaiian or Pacific Islander,Alone,1917
2017,All,Native Hawaiian or Pacific Islander,In_Combination,1843
2017,All,White,Alone,50820
2017,All,White,In_Combination,52664
2017,CA-500,"American Indian, Alaska Native, or Indigenous",Alone,118
2017,CA-500,"American Indian, Alaska Native, or Indigenous",In_Combination,838
2017,CA-500,Asian or Asian American,Alone,378
2017,CA-500,Asian or Asian American,In_Combination,133
2017,CA-500,"Black, African American or African",Alone,1377
2017,CA-500,"Black, African American or African",In_Combination,356
2017,CA-500,Hispanic/Latina/e/o,Alone,269
2017,CA-500,Hispanic/Latina/e/o,In_Combination,4507
2017,CA-500,Native Hawaiian or Pacific Islander,Alone,178
2017,CA-500,Native Hawaiian or Pacific Islander,In_Combination,176
2017,CA-500,White,Alone,2466
2017,CA-500,White,In_Combination,4087
2017,CA-501,"American Indian, Alaska Native, or Indigenous",Alone,68
2017,CA-501,"American Indian, Alaska Native, or Indigenous",In_Combination,300
2017,CA-501,Asian or Asian American,Alone,177
2017,CA-501,Asian or Asian American,In_Combination,56
2017,CA-501,"Black, African American or African",Alone,1605
2017,CA-501,"Black, African American or African",In_Combination,228
2017,CA-501,Hispanic/Latina/e/o,Alone,207
2017,CA-501,Hispanic/Latina/e/o,In_Combination,988
2017,CA-501,Native Hawaiian or Pacific Islander,Alone,95
2017,CA-501,Native Hawaiian or Pacific Islander,In_Combination,66
2017,CA-501,White,Alone,808
2017,CA-501,White,In_Combination,755
2017,CA-502,"American Indian, Alaska Native, or Indigenous",Alone,68
2017,CA-502,"American Indian, Alaska Native, or Indigenous",In_Combination,396
2017,CA-502,Asian or Asian American,Alone,169
2017,CA-502,Asian or Asian American,In_Combination,124
2017,CA-502,"Black, African American or African",Alone,3479
2017,CA-502,"Black, African American or African",In_Combination,598
2017,CA-502,Hispanic/Latina/e/o,Alone,48
2017,CA-502,Hispanic/Latina/e/o,In_Combination,1226
2017,CA-502,Native Hawaiian or Pacific Islander,Alone,72
2017,CA-502,Native Hawaiian or Pacific Islander,In_Combination,152
2017,CA-502,White,Alone,973
2017,CA-502,White,In_Combination,1120
2017,CA-503,"American Indian, Alaska Native, or Indigenous",Alone,145
2017,CA-503,"American Indian, Alaska Native, or Indigenous",In_Combination,480
2017,CA-503,Asian or Asian American,Alone,124
2017,CA-503,Asian or Asian American,In_Combination,109
2017,CA-503,"Black, African American or African",Alone,4714
2017,CA-503,"Black, African American or African",In_Combination,917
2017,CA-503,Hispanic/Latina/e/o,Alone,49
2017,CA-503,Hispanic/Latina/e/o,In_Combination,1889
2017,CA-503,Native Hawaiian or Pacific Islander,Alone,154
2017,CA-503,Native Hawaiian or Pacific Islander,In_Combination,130
2017,CA-503,White,Alone,3355
2017,CA-503,White,In_Combination,1992
2017,CA-504,"American Indian, Alaska Native, or Indigenous",Alone,62
2017,CA-504,"American Indian, Alaska Native, or Indigenous",In_Combination,443
2017,CA-504,Asian or Asian American,Alone,25
2017,CA-504,Asian or Asian American,In_Combination,33
2017,CA-504,"Black, African American or African",Alone,188
2017,CA-504,"Black, African American or African",In_Combination,98
2017,CA-504,Hispanic/Latina/e/o,Alone,40
2017,CA-504,Hispanic/Latina/e/o,In_Combination,764
2017,CA-504,Native Hawaiian or Pacific Islander,Alone,26
2017,CA-504,Native Hawaiian or Pacific Islander,In_Combination,46
2017,CA-504,White,Alone,1606
2017,CA-504,White,In_Combination,642
2017,CA-505,"American Indian, Alaska Native, or Indigenous",Alone,35
2017,CA-505,"American Indian, Alaska Native, or Indigenous",In_Combination,326
2017,CA-505,Asian or Asian American,Alone,49
2017,CA-505,Asian or Asian American,In_Combination,38
2017,CA-505,"Black, African American or African",Alone,1470
